lat,lon,time,later,week1,week2,week3,week4,clim_later,clim_week1,clim_week2,clim_week3,clim_week4
24,76,2025-05-07,0.9654007949385617,1.2181026764078852e-08,2.005440975004049e-06,0.0014038424364827278,0.033193345002953775,0.9722742959738144,2.6683288356017064e-06,2.2335395580769447e-05,0.0014672973163213443,0.026233402985448042
24,78,2025-05-07,0.9455708011636825,4.2090389876202945e-08,3.5553126593180407e-05,0.005006543007784902,0.04938706061154954,0.9639653041006806,7.683853766770403e-06,0.0001339878715950787,0.0035646349189479916,0.032328389255009436
24,80,2025-05-07,0.9614336689311918,1.1589958277654736e-08,5.384572704788776e-06,0.002042571627761885,0.03651836327838335,0.9766617089849796,2.5221554002108995e-06,2.0734712046064802e-05,0.0010819513401921909,0.022233082807381975
24,82,2025-05-07,0.954139064500854,2.7252666201777147e-08,8.892978397292075e-06,0.002600825080810742,0.0432511901872718,0.9741261985072703,2.242656376220392e-06,1.695447604303244e-05,0.0009062650047141345,0.02494833935559627
24,84,2025-05-07,0.8917801594692074,7.883911378024157e-07,0.0003513045526338732,0.021417419456218154,0.08645032813080276,0.9314779968266994,6.8842234181670935e-06,0.00010515775130082682,0.006291936497122438,0.062118024701459114
24,86,2025-05-07,0.7708526139917058,5.052300954914426e-05,0.019679858579627226,0.08177875606368441,0.1276382483554333,0.8762611311295532,2.7458441773329558e-05,0.0011135454928954103,0.02033872621110466,0.10225913872467339
24,88,2025-05-07,0.48718476930757826,0.0005496245884197069,0.14177279712129848,0.17569800079378003,0.1947948081889235,0.8297655083909733,5.704899328264031e-05,0.003964028928727357,0.03202224241452171,0.13419117127249486
26,76,2025-05-07,0.9865741292479351,2.7703339855240245e-09,2.289770512335841e-06,0.0005218206273642758,0.012901757583854334,0.9862167490740337,2.6323789533194604e-06,2.3488295145878064e-05,0.0007145625980907516,0.01304256765377624
26,78,2025-05-07,0.9548097119236739,2.4589661257939246e-08,5.64634500740678e-06,0.004331875338752285,0.04085274180290518,0.9670953235773309,3.1049808585048093e-06,2.8124867505362396e-05,0.0024814681148047388,0.030391978459500608
26,80,2025-05-07,0.9612269584549005,2.4491261876244885e-08,8.664589029615541e-06,0.0035762046694862324,0.03518814779532172,0.9769009884354027,2.6615048789711575e-06,2.2655066070492538e-05,0.0012159103156964021,0.021857784677951443
26,82,2025-05-07,0.985129601515703,1.1096688174792915e-08,1.019060034319401e-05,0.0005964509178503023,0.014263745869415438,0.9927354802936468,1.6795179568229839e-06,1.2144960116350658e-05,0.0001314076496536352,0.007119287578626465
